n,absyn
0,1
1,0.618033988749895
2,0.381966011250105
3,0.23606797749979
4,0.145898033750315
5,0.0901699437494745
6,0.0557280900008408
7,0.0344418537486337
8,0.021286236252207
9,0.0131556174964267
10,0.00813061875578036
11,0.00502499874064632
12,0.00310562001513404
13,0.00191937872551229
14,0.00118624128962175
15,0.000733137435890541
16,0.000453103853731207
17,0.000280033582159334
18,0.000173070271571873
19,0.00010696331058746
20,6.61069609844134e-05
21,4.08563496030467e-05
22,2.52506113813666e-05
23,1.56057382216801e-05
24,9.64487315968654e-06
25,5.96086506199356e-06
26,3.68400809769298e-06
27,2.27685696430058e-06
28,1.4071511333924e-06
29,8.69705830908174e-07
30,5.3744530248423e-07
31,3.32260528423944e-07
32,2.05184774060285e-07
33,1.27075754363659e-07
34,7.81090196966261e-08
35,4.89667346670331e-08
36,2.9142285029593e-08
37,1.982444963744e-08
38,9.31783539215303e-09
39,1.0506614245287e-08
40,1.18877885313395e-09
41,1.16953930984209e-08
42,1.28841719515549e-08
43,2.45795650499758e-08
44,3.74637370015307e-08
45,6.20433020515065e-08
46,9.95070390530373e-08
47,1.61550341104544e-07
48,2.61057380157581e-07
49,4.22607721262125e-07
50,6.83665101419706e-07
51,1.10627282268183e-06
52,1.78993792410154e-06
53,2.89621074678337e-06
54,4.6861486708849e-06
55,7.58235941766827e-06
56,1.22685080885532e-05
57,1.98508675062214e-05
58,3.21193755947746e-05
59,5.19702431009961e-05
60,8.40896186957707e-05
61,0.000136059861796767
62,0.000220149480492537
63,0.000356209342289304
64,0.000576358822781842
65,0.000932568165071146
66,0.00150892698785299
67,0.00244149515292413
68,0.00395042214077712
69,0.00639191729370125
70,0.0103423394344784
71,0.0167342567281796
72,0.027076596162658
73,0.0438108528908376
74,0.0708874490534956
75,0.114698301944333
76,0.185585750997829
77,0.300284052942162
78,0.485869803939991
79,0.786153856882153
80,1.27202366082214
