rank,url,i,y
1,{\small http://www.ba.itb.cnr.it/srs7/SRScopyright.html},60596,0.0177718833003672
2,{\small http://www.ba.itb.cnr.it/srs7/SRStermsofuse.html},60598,0.0177718833003672
3,{\small http://biblioteca.iam.na.cnr.it/FMRes/THelp.htm},285153,0.00750487218295477
4,{\small http://biblioteca.na.iac.cnr.it/FMRes/THelp.htm},318526,0.00680340175766852
5,{\small http://www.istc.cnr.it/cessba/user.php},247029,0.00561858542280491
6,{\small http://www.istc.cnr.it/oldcessba/index.html},236402,0.00372260522922768
7,{\small http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+databanks},60600,0.00266663173031506
8,{\small http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+results},60602,0.00266663173031506
9,{\small http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+sessions},60603,0.00266663173031506
10,{\small http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+top},60604,0.00266663173031506
11,{\small http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+viewMan1+\dots},60605,0.00266663173031506
12,{\small http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+query},60601,0.00257596625141596
13,{\small http://www.cnr.it/neutronielucedisincrotrone/},272817,0.00247923241766551
14,{\small http://www.ba.itb.cnr.it/srs7bin/cgi-bin/wgetz?-page+applSelect},60599,0.00243651630165475
15,{\small http://www.istc.cnr.it/cessba/[\dots]\&name=Members\_List\&file=index},247012,0.00235704659108587
16,{\small http://www.istc.cnr.it/cessba/index.php},247013,0.00235704659108587
17,{\small http://www.istc.cnr.it/cessba/[\dots]\&name=Downloads\&file=index},247014,0.00235704659108587
18,{\small http://www.istc.cnr.it/cessba/[\dots]\&name=FAQ\&file=index},247015,0.00235704659108587
19,{\small http://www.istc.cnr.it/cessba/[\dots]\&name=News\&file=index},247025,0.00235704659108587
20,{\small http://www.istc.cnr.it/cessba/[\dots]\&name=Search\&file=index},247026,0.00235704659108587
