fascia,y,alpha,beta
0-4 anni,2338752,0,0.99666285
5-9 anni,2691273,0,0.99963893
10-14 anni,2841862,0,0.99956698
15-19 anni,2873676,0.009165,0.99901612
20-24 anni,2962307,0.05883,0.99858751
25-29 anni,3175599,0.150305,0.99838722
30-34 anni,3320500,0.21956,0.99802939
35-39 anni,3654733,0.151265,0.99717938
40-44 anni,4372031,0.04027,0.99536533
45-49 anni,4785280,0.003675,0.99273931
50-54 anni,4900974,0.00046,0.98864512
55-59 anni,4387417,0,0.98170167
60-64 anni,3819054,0,0.9706422
65-69 anni,3468709,0,0.95307628
70-74 anni,3215420,0,0.92492392
75-79 anni,2712798,0,0.87006937
80-84 anni,2162715,0,0.77374104
85-89 anni,1367800,0,0.59730542
90-94 anni,599445,0,0.37986856
95-99 anni,152196,0,0.20204491
100-104 anni,14132,0,0.06881952
105-109 anni,972,0,0.01387382
110-114 anni,13,0,0.00176365000000001
115-119 anni,0,0,0
